file_id	result	origen	motivo
2026-01-08_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-11_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-12_P002.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-12_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-14_P002.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-15_P003.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-16_P004.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-17_P011.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-18_P005.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-22_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-23_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-24_P009.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-25_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-26_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-26_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-27_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-28_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-28_P008.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-30_P005.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-30_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-01-31_P008.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-04_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-05_P004.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-05_P008.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-05_P011.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-07_P002.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-07_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-09_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-12_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-15_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-19_P005.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-22_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-22_P008.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-23_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-25_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-25_P003.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-02-27_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-0233-A_catering.pdf	ESCALAR	texto	R5b: otros ficheros con el mismo pedido: ['factura_41082.pdf']
2026-03-01_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-01_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-03_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-03_P011.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-05_P004.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-07_P005.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-08_P004.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-09_P004.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-10_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-11_P003.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-11_P004.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-16_P002.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-16_P011.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-17_P005.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-17_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-19_P003.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-19_P008.pdf	ESCALAR	texto	R6: extraccion incompleta: fecha_invalida
2026-03-20_P003.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-20_P008.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-21_P002.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-21_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-21_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-24_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-26_P006.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-28_P001.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-03-28_P002.pdf	NO_PAGAR	texto	R5a: estado ERP del pedido PO-2026-0476: PAGADA
2026-04-03_P010.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-04-06_P002.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
2026-04-06_P007.pdf	PAGAR	texto	todas las comprobaciones de la norma pasan
